,Year,Artists Name,English Name,Category,Artist ID,
1,2002,슈가,,Idol,9176,
2,2005,천상지희 더 그레이스,,Idol,80008746,
3,2006,브라운아이드걸스,Brown Eyed Girls,Idol,80015705,
4,2007,소녀시대,Girls' Generation,Idol,80026432,
5,2007,원더걸스,Wonder Girls,Idol,80022182,
6,2007,카라,KARA,Idol,80023353,
7,2007,써니힐,,Idol,80027073,
8,2009,투에니원,2NE1,Idol,,
9,2009,티아라,T-ARA,Idol,,
10,2009,시크릿,Secret,Idol,,
11,2009,에프엑스,f(x),Idol,,
12,2009,포미닛,4minute,Idol,,
13,2009,에프터스쿨,After School,Idol,,
14,2009,레인보우,Rainbow,Idol,,
15,2010,나인뮤지스,,Idol,,
16,2010,걸스데이,Girl's Day,Idol,80073726,노랑색=done
17,2010,미쓰에이,miss A,Idol,,
18,2010,씨스타,SISTAR,Idol,,
19,2010,오렌지캬라멜,Orange Caramel,Idol,,
20,2011,에이핑크,Apink,Idol,,
21,2011,달샤벳,,Idol,,
22,2011,파이브돌스,,Idol,,
23,2011,브레이브 걸스,Brave Girls,Idol,,
24,2012,EXID,EXID,Idol,,
24,2012,태티서,TTS,Idol,,
26,2012,AOA,AOA,Idol,,
27,2012,스피카,,Idol,,
28,2012,크레용팝,,Idol,,
29,2012,헬로비너스,,Idol,,
30,2012,피에스타,,Idol,,
31,2013,베스티,,Idol,,
32,2013,레이디스코드,LADIES' CODE,Idol,,
33,2014,마마무,MAMAMOO,Idol,80177857,
34,2014,러블리즈,LOVELYZ,Idol,,
35,2014,레드벨벳,Red Velvet,Idol,80199440,
36,2014,라붐,,Idol,,
37,2015,여자친구,GFRIEND,Idol,,
38,2015,오마이걸,OH MY GIRL,Idol,,
39,2015,트와이스,TWICE,Idol,,
40,2015,다이아,,Idol,,
41,2015,에이프릴,APRIL,Idol,,
42,2015,CLC,,Idol,,
43,2016,BLACKPINK,BLACKPINK,Idol,,
44,2016,모모랜드,MOMOLAND,Idol,,
45,2016,아이오아이,I.O.I,Idol,,
46,2016,우주소녀,WJSN,Idol,,
47,2017,드림캐쳐,,Idol,,
48,2017,위키미키,,Idol,,
49,2017,이달의 소녀,LOONA,Idol,,
50,2017,앨리스,,Idol,-,
51,2018,소녀주의보,,Idol,,
52,2018,(여자)아이들,(G)I-DLE,Idol,,
58,2018,NATURE (네이처),,Idol,,
54,2018,IZ*ONE,IZ*ONE,Idol,,
55,2019,프로미스나인,fromis_9,Idol,,
56,2019,EVERGLOW,,Idol,,
57,2020,ITZY,ITZY,Idol,,
58,2020,STAYC,STAYC,Idol,,
59,2020,Weeekly,Weekly,Idol,,
60,2020,woo!ah!,,Idol,,
61,2021,aespa,aespa,Idol,,
62,2021,IVE,IVE,Idol,,
63,2022,퍼플키스,,Idol,-,
64,2022,FLO,,Idol,,
65,2022,LE SSERAFIM,LE SSERAFIM,Idol,,
66,2022,NMIXX,NMIXX,Idol,,
67,2022,Kep1er,,Idol,,
68,2022,NewJeans,NewJeans,Idol,20164333,
69,2008,아이유,,Solo,80049126,
70,,선미,,Solo,,
71,,현아,,Solo,,
72,,화사,,Solo,,
73,,보아,,Solo,,
74,,,,Solo,,
75,,,,Solo,,
76,,,,Solo,,
77,,,,Solo,,
78,,,,Solo,,
79,,,,Solo,,
80,,,,Solo,,
81,,,,Solo,,
82,,,,Solo,,
83,,,,Solo,,
84,,,,Solo,,
85,,,,Solo,,
86,,,,Solo,,
87,,,,Solo,,
88,,,,Solo,,
89,,,,Solo,,
90,,,,Solo,,
91,,,,Solo,,
92,,,,Solo,,
93,,,,Solo,,
94,,,,Solo,,
95,,,,Solo,,
96,,,,Solo,,
97,,,,Solo,,
98,,,,Solo,,
99,,,,Solo,,
100,,,,Solo,,
101,,,,Solo,,
102,,,,Solo,,
103,,,,Solo,,
104,,,,Solo,,
105,,,,Solo,,
106,,,,Solo,,
107,,,,Solo,,
108,,,,Solo,,
109,,,,Solo,,
110,,,,Solo,,
111,,,,Solo,,
112,,,,Solo,,
113,,,,Solo,,
114,,,,Solo,,
115,,,,Solo,,
116,,,,Solo,,
117,,,,Solo,,
118,,,,Solo,,
119,,,,Solo,,
120,,,,Solo,,
121,,,,Solo,,
122,,,,Solo,,
123,,,,Solo,,
124,,,,Solo,,
125,,,,Solo,,
126,,,,Solo,,
127,,,,Solo,,
128,,,,Solo,,
129,,,,Solo,,
130,,,,Solo,,
131,,,,Solo,,
132,,,,Solo,,
133,,,,Solo,,
134,,,,Solo,,
135,,,,Solo,,
136,,,,Solo,,
137,,,,Solo,,
138,,,,Solo,,
139,,,,Solo,,
140,,,,Solo,,
141,,,,Solo,,
142,,,,Solo,,
143,,,,Solo,,
144,,,,Solo,,
145,,,,Solo,,
146,,,,Solo,,
147,,,,Solo,,
148,,,,Solo,,
149,,,,Solo,,
No.,연도,걸그룹,,Type,Bugs_Artist ID,
