,YEAR,RANK,TITLE,ARTIST
0,2011,1,Roly-Poly,티아라
1,2011,2,바람났어 (Feat. 박봄),GG (박명수 & G-Dragon)
2,2011,3,내가 제일 잘 나가,2NE1
3,2011,4,비가 오는 날엔,비스트
4,2011,5,"TV를 껐네... (Feat. t윤미래, 권정열 Of 10cm)",리쌍
5,2011,6,So Cool (쏘쿨),씨스타
6,2011,7,UGLY,2NE1
7,2011,8,좋은 날,아이유
8,2011,9,살다가 한번쯤,포맨 (4MEN)
9,2011,10,안녕이라고 말하지마,다비치
10,2011,11,그리워 그리워,노을
11,2011,12,Good-bye Baby,미쓰에이
12,2011,13,Hello,허각
13,2011,14,Hands Up,2PM
14,2011,15,별빛달빛,시크릿
15,2011,16,Hot Summer,f(x)
16,2011,17,Lonely,2NE1
17,2011,18,압구정 날라리,처진 달팽이 (유재석 & 이적)
18,2011,19,끝사랑,김범수
19,2011,20,Be My Baby,원더걸스
20,2011,21,The Boys,소녀시대 (GIRLS' GENERATION)
21,2011,22,서쪽 하늘,울랄라세션
22,2011,23,동경소녀,버스커 버스커
23,2011,24,Fiction,비스트
24,2011,25,제발,김범수
25,2011,26,Don't Cry,박봄 (Park Bom)
26,2011,27,샤이보이,시크릿
27,2011,28,Bubble Pop!,현아
28,2011,29,Black & White,지나
29,2011,30,회상 (Feat. 백지영),리쌍
30,2011,31,톡톡 (Tok Tok) (Feat. SOYA),마이티 마우스
31,2011,32,Hate You,2NE1
32,2011,33,Cry Cry,티아라
33,2011,34,TONIGHT,BIGBANG (빅뱅)
34,2011,35,Oh Yeah (Feat. 박봄),GD&TOP
35,2011,36,Ma Boy (마보이),씨스타19
36,2011,37,나만 몰랐던 이야기,아이유
37,2011,38,여우야,투개월
38,2011,39,반짝반짝,걸스데이
39,2011,40,Sixth Sense,브라운아이드걸스
40,2011,41,사랑은 Move,시크릿
41,2011,42,내꺼중에 최고,이현
42,2011,43,High High,GD&TOP
43,2011,44,달의 몰락,울랄라세션
44,2011,45,죽고 싶단 말 밖에,허각
45,2011,46,연애시대 (Feat. Ra.D) (Narr. 한효주),이승기
46,2011,47,미친거니 (Feat. 방용국),송지은
47,2011,48,그 남자 그 여자,"포맨 (4MEN), 미(MIIII)"
48,2011,49,사랑 사랑아,다비치
49,2011,50,STEP,카라
50,2011,51,막걸리나,버스커 버스커
51,2011,52,피노키오 (Danger),f(x)
52,2011,53,직감,CNBLUE (씨엔블루)
53,2011,54,처음 사랑하는 연인들을 위해 (반말송),정용화 (CNBLUE)
54,2011,55,나란 놈은 답은 너다 (Feat. 하림),리쌍
55,2011,56,Mr. Simple,SUPER JUNIOR (슈퍼주니어)
56,2011,57,가슴이 뛴다,케이윌
57,2011,58,Top Girl,지나
58,2011,59,너랑 나,아이유
59,2011,60,친구잖아,이승기
60,2011,61,좋아보여 (Feat. 검정치마),버벌진트
61,2011,62,랄랄라 (Feat. 소야),마이티 마우스
62,2011,63,LOVE SONG,BIGBANG (빅뱅)
63,2011,64,나만 부를 수 있는 노래,바닷길 (길 & 바다)
64,2011,65,잘 된 일이야,나비 (Navi)
65,2011,66,CAFE,BIGBANG (빅뱅)
66,2011,67,그 입술을 막아본다,에이트
67,2011,68,니까짓게,씨스타
68,2011,69,순정마초,파리돼지앵 (정형돈 & 정재형)
69,2011,70,내꺼하자,인피니트
70,2011,71,얼음꽃 (Feat. 김세황),"아이유, 김연아"
71,2011,72,Open Arms (Journey) (Feat. 크리스티나),울랄라세션
72,2011,73,난 좋아,성시경
73,2011,74,Midnight Circus,써니힐
74,2011,75,클렌징크림,브라운아이드걸스
75,2011,76,거울아 거울아,4minute
76,2011,77,아메리카노,10CM
77,2011,78,내가 이렇지 (Feat. 하동균),지아
78,2011,79,사랑은 은하수 다방에서,10CM
79,2011,80,가슴 시린 이야기 (Feat. 용준형 Of Beast),휘성 (Realslow)
80,2011,81,WHAT IS RIGHT,BIGBANG (빅뱅)
81,2011,82,정류장,버스커 버스커
82,2011,83,흔들어 주세요,철싸 (노홍철 & 싸이)
83,2011,84,Shampoo,애프터스쿨
84,2011,85,나와 같다면 (김장훈),김연우
85,2011,86,말하는 대로,처진 달팽이 (유재석 & 이적)
86,2011,87,"Get It In (Feat. Tiger JK, 정인) (Korean Ver.)",윤미래
87,2011,88,왜 (Keep Your Head Down),동방신기 (TVXQ!)
88,2011,89,"Grand Final (Feat. 정인, MC 날유)",리쌍
89,2011,90,모나리자 (Mona Lisa),엠블랙
90,2011,91,서울사람들,버스커 버스커
91,2011,92,Hello Hello,FTISLAND (FT아일랜드)
92,2011,93,남자니까 웃는거야,"Homme (창민, 이현)"
93,2011,94,하루하루,김보경 (NEON)
94,2011,95,Supa Dupa Diva,달샤벳
95,2011,96,To Me (내게로..),레인보우
96,2011,97,Heart To Heart,4minute
97,2011,98,샹하이 로맨스 (上海之戀),오렌지 캬라멜
98,2011,99,나쁘다 (feat. 진실),Tablo
99,2011,100,이러쿵 저러쿵,F-ve Dolls
