,Unnamed: 0,artist_id,artist_x,song_id,song_name,album_id,album,Like_Count,Lyric,date,year
0,0,80079394,방탄소년단,32075142,Dynamite,373047,BE,"[1,434]","[Cos ah ah I'm in the stars tonight
So watch me bring the fire
and set the night alight
Shoes on get up in the morn
Cup of milk let's rock and roll
King Kong kick the drum rolling on
like a rolling stone
Sing song when I'm walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom I'm ready
Life is sweet as honey
Yeah this beat cha ching like money
Disco overload
I'm into that I'm good to go
I'm diamond you know I glow up
Hey so let's go
Cos ah ah I'm in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I'mma light it up like dynamite woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk just move like
we off the wall
Day or night the sky's alight
So we dance to the break of dawn
Ladies and gentlemen
I got the medicine
so you should keep ya eyes
on the ball huh
This is getting heavy
Can you hear the bass boom I'm ready
Life is sweet as honey
Yeah this beat cha ching like money
Disco overload I'm into that I'm good to go
I'm diamond you know I glow up
Let's go
Cos ah ah I'm in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I'mma light it up like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I'mma light it up like dynamite woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah I'm in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I'mma light it up like dynamite
Cos ah ah I'm in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I'mma light it up like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I'mma light it up like dynamite woah]",2020-11-20,2020
1,1,80079394,방탄소년단,32075135,Life Goes On,373047,BE,"[11,080]","[어느 날 세상이 멈췄어
아무런 예고도 하나 없이
봄은 기다림을 몰라서
눈치 없이 와버렸어
발자국이 지워진 거리
여기 넘어져있는 나
혼자 가네 시간이
미안해 말도 없이
오늘도 비가 내릴 것 같아
흠뻑 젖어버렸네
아직도 멈추질 않아
저 먹구름보다 빨리 달려가
그럼 될 줄 알았는데
나 겨우 사람인가 봐
몹시 아프네
세상이란 놈이 준 감기
덕분에 눌러보는 먼지 쌓인 되감기
넘어진 채 청하는 엇박자의 춤
겨울이 오면 내쉬자
더 뜨거운 숨
끝이 보이지 않아
출구가 있긴 할까
발이 떼지질 않아 않아 Oh
잠시 두 눈을 감아
여기 내 손을 잡아
저 미래로 달아나자
Like an echo in the forest
하루가 돌아오겠지
아무 일도 없단 듯이
Yeah life goes on
Like an arrow in the blue sky
또 하루 더 날아가지
On my pillow on my table
Yeah life goes on
Like this again
이 음악을 빌려 너에게 나 전할게
사람들은 말해 세상이 다 변했대
다행히도 우리 사이는
아직 여태 안 변했네
늘 하던 시작과 끝 '안녕'이란 말로
오늘과 내일을 또 함께 이어보자고
멈춰있지만 어둠에 숨지 마
빛은 또 떠오르니깐
끝이 보이지 않아
출구가 있긴 할까
발이 떼지질 않아 않아 Oh
잠시 두 눈을 감아
여기 내 손을 잡아
저 미래로 달아나자
Like an echo in the forest
하루가 돌아오겠지
아무 일도 없단 듯이
Yeah life goes on
Like an arrow in the blue sky
또 하루 더 날아가지
On my pillow on my table
Yeah life goes on
Like this again
I remember
I remember
I remember
I remember]",2020-11-20,2020
2,2,80079394,방탄소년단,32075136,내 방을 여행하는 법,373047,BE,"[4,346]","[떠나볼까 let me fly to my
시선을 낮추고 어디든 막 zoom
지금 나와 let me fly to my
Get me outta my blues
And now I’m feelin’ brand new
 
Everyday
답답해 미치겠어
Feel like it’s still day one
누가 저 시계를 좀 돌려줘
올해 다 뺏겼어
아직 난 침대 속
거북해 속이
It’s killin’ me slowly nah
Anyway
떠나고파 any way
뭐 방법이 없어
이 방이 내 전부
그럼 뭐 여길
내 세상으로
바꿔보지 뭐
Yeah
 
떠나볼까 let me fly to my room
시선을 낮추고 어디든 막 zoom
지금 나와 let me fly to my room
Get me outta my blues
And now I’m feelin’ brand new
 
Everywhere
여기가 이랬나 싶어
갑자기 낯선 이 풍경
괜히 추억에 잠겨
오래된 책상도
달라진 햇빛도
특별해 보이네
I'm little less lonely nah
 
Better way
I just found a better way
Sometimes we get to know
Broken is beautiful
가벼워 몸이
날아가 멀리
This thing so surreal
Yeah
 
떠나볼까 let me fly to my room
시선을 낮추고 어디든 막 zoom
지금 나와 let me fly to my room
Get me outta my blues
And now I’m feelin’ brand new
 
이 방은 너무 작지
그래 나의 꿈을 담기에
침대 그 위로 착지
여기가 제일 안전해
어쩜 기쁨도 슬픔도 어떤 감정도
여긴 그저 받아주네
때론 이 방이 감정의 쓰레기통이 돼도
날 안아주네
 
또 나를 반겨주네
사람들 같은 내방 toy들
마치 시내를 나온 듯이 북적여
TV 소리는
생각은 생각이 바꾸면 돼
여긴 나만 즐길 수 있는 travel
배달음식은 ⭐⭐⭐
낙관적으로 채워봐, I’m full
 
떠나볼까 let me fly to my
시선을 낮추고 어디든 막 zoom
지금 나와 let me fly to my
Get me outta my blues
And now I’m feelin’ brand new
 
떠나볼까 let me fly to my room
시선을 낮추고 어디든 막 zoom
지금 나와 let me fly to my room
Get me outta my blues
And now I’m feelin’ brand new
 
떠나볼까 let me fly to my room
시선을 낮추고 어디든 막 zoom
지금 나와 let me fly to my room
Get me outta my blues
And now I’m feelin’ brand new]",2020-11-20,2020
3,3,80079394,방탄소년단,30547148,봄날,20010311,YOU NEVER WALK ALONE,"[32,518]","[보고 싶다 이렇게 말하니까 더 보고 싶다
너희 사진을 보고 있어도 보고 싶다
너무 야속한 시간 나는 우리가 밉다
이젠 얼굴 한 번 보는 것 조차 힘들어진 우리가
여긴 온통 겨울 뿐이야
8월에도 겨울이 와
마음은 시간을 달려가네
홀로 남은 설국열차
니 손 잡고 지구 반대편까지 가
겨울을 끝내고파
그리움들이 얼마나 눈처럼 내려야
그 봄날이 올까
Friend
허공을 떠도는 작은 먼지처럼 작은 먼지처럼
날리는 눈이 나라면
조금 더 빨리 네게 닿을 수 있을 텐데
눈꽃이 떨어져요 또 조금씩 멀어져요
보고 싶다 (보고 싶다)
보고 싶다 (보고 싶다)
얼마나 기다려야 또 몇 밤을 더 새워야
널 보게 될까 (널 보게 될까)
만나게 될까 (만나게 될까)
추운 겨울 끝을 지나 다시 봄날이 올 때까지
꽃 피울 때까지 그곳에 좀 더 머물러줘
머물러줘
니가 변한 건지 아니면 내가 변한 건지
이 순간 흐르는 시간조차 미워
우리가 변한 거지 뭐 모두가 그런 거지 뭐
그래 밉다 니가 넌 떠났지만
단 하루도 너를 잊은 적이 없었지 난
솔직히 보고 싶은데 이만 너를 지울게
그게 널 원망하기보단 덜 아프니까
시린 널 불어내 본다 연기처럼 하얀 연기처럼
말로는 지운다 해도
사실 난 아직 널 보내지 못하는데
눈꽃이 떨어져요 또 조금씩 멀어져요
보고 싶다 (보고 싶다)
보고 싶다 (보고 싶다)
얼마나 기다려야 또 몇 밤을 더 새워야
널 보게 될까 (널 보게 될까)
만나게 될까 (만나게 될까)
You know it all You're my best friend
아침은 다시 올 거야
어떤 어둠도 어떤 계절도 영원할 순 없으니까
벚꽃이 피나봐요 이 겨울도 끝이 나요
보고 싶다 (보고 싶다)
보고 싶다 (보고 싶다)
조금만 기다리면 며칠 밤만 더 새우면
만나러 갈게 (만나러 갈게)
데리러 갈게  (데리러 갈게)
추운 겨울 끝을 지나 다시 봄날이 올 때까지
꽃 피울 때까지 그곳에 좀 더 머물러줘
머물러줘]",2017-02-13,2017
4,4,80079394,방탄소년단,30547135,피 땀 눈물,20010311,YOU NEVER WALK ALONE,"[2,127]","[내 피 땀 눈물 내 마지막 춤을 다 가져가 가
내 피 땀 눈물 내 차가운 숨을 다 가져가 가
내 피 땀 눈물

내 피 땀 눈물도 
내 몸 마음 영혼도
너의 것인 걸 잘 알고 있어
이건 나를 벌받게 할 주문
Peaches and cream
Sweeter than sweet
Chocolate cheeks
and chocolate wings
But 너의 날개는 악마의 것
너의 그 sweet 앞엔 bitter bitter
Kiss me 아파도 돼 어서 날 조여줘
더 이상 아플 수도 없게
Baby 취해도 돼 이제 널 들이켜
목 깊숙이 너란 위스키

내 피 땀 눈물 내 마지막 춤을 다 가져가 가
내 피 땀 눈물 내 차가운 숨을 다 가져가 가

원해 많이 많이 많이 많이
원해 많이 많이 많이 많이 많이 많이
원해 많이 많이 많이 많이
원해 많이 많이 많이 많이 많이 많이

아파도 돼 날 묶어줘 내가 도망칠 수 없게
꽉 쥐고 날 흔들어줘 내가 정신 못 차리게
Kiss me on the lips lips 둘만의 비밀
너란 감옥에 중독돼 깊이
니가 아닌 다른 사람 섬기지 못해
알면서도 삼켜버린 독이 든 성배

내 피 땀 눈물 내 마지막 춤을 다 가져가 가
내 피 땀 눈물 내 차가운 숨을 다 가져가 가

원해 많이 많이 많이 많이
원해 많이 많이 많이 많이 많이 많이
원해 많이 많이 많이 많이
원해 많이 많이 많이 많이 많이 많이

나를 부드럽게 죽여줘
너의 손길로 눈 감겨줘
어차피 거부할 수조차 없어
더는 도망갈 수조차 없어
니가 너무 달콤해 너무 달콤해
너무 달콤해서

내 피 땀 눈물
내 피 땀 눈물]",2017-02-13,2017
5,5,80079394,방탄소년단,30547149,Not Today,20010311,YOU NEVER WALK ALONE,"[10,319]","[All the underdogs in the world
A day may come when we lose.
But it is not today. Today, we fight!

No, not today 언젠가 꽃은 지겠지
But no, not today 그 때가 오늘은 아니지
No no, not today 아직은 죽기엔 too good day
No no, not today no no no, not today

그래 우리는 EXTRA But still part of this world
EXTRA + ORDINARY 그것도 별 거 아녀
오늘은 절대 죽지 말아 빛은 어둠을 뚫고 나가
새 세상 너도 원해? Oh baby yes I want it

날아갈 수 없음 뛰어 Today we will survive
뛰어갈 수 없음 걸어 Today we will survive
걸어갈 수 없음 기어 기어서라도 gear up
겨눠 총! 조준! 발사!

Not not today! Not not today!
Hey~ 뱁새들아 다 hands up
Hey~ 친구들아 다 hands up
Hey~ 나를 믿는다면 hands up
총! 조준! 발사!

죽지 않아 묻지 마라 소리 질러
Not not today
꿇지 마라 울지 않아 손을 들어
Not not today
Hey~ Not not today
Hey~ Not not today
Hey~ Not not today
총! 조준! 발사!

Too hot, 성공을 doublin' Too hot,
차트를 덤블링
Too high, we on 트램펄린 Too high,
누가 좀 멈추길

우린 할 수가 없었단다 실패
서로가 서롤 전부 믿었기에
What you say yeah Not today yeah
오늘은 안 죽어 절대 yeah

너의 곁에 나를 믿어 Together we won’t die
나의 곁에 너를 믿어 Together we won’t die
함께라는 말을 믿어 방탄이란 걸 믿어
겨눠 총! 조준! 발사!

Not not today! Not not today!
Hey~ 뱁새들아 다 hands up
Hey~ 친구들아 다 hands up
Hey~ 나를 믿는다면 hands up
총! 조준! 발사!

죽지 않아 묻지 마라 소리 질러 Not not today
꿇지 마라 울지 않아 손을 들어 Not not today
Hey~ Not not today
Hey~ Not not today
Hey~ Not not today
총! 조준! 발사!

Throw it up! Throw it up!
니 눈 속의 두려움 따위는 버려
Break it up! Break it up!
널 가두는 유리천장 따윈 부숴
Turn it up! (Turn it up!)
Burn it up! (Burn it up!)
승리의 날까지 (fight!)
무릎 꿇지 마 무너지지마
That’s (Do) not today! 

Not not today! Not not today!
Hey~ 뱁새들아 다 hands up
Hey~ 친구들아 다 hands up
Hey~ 나를 믿는다면 hands up
총! 조준! 발사!

죽지 않아 묻지 마라 소리 질러
Not not today
꿇지 마라 울지 않아 손을 들어
Not not today
Hey~ Not not today
Hey~ Not not today
Hey~ Not not today
총! 조준! 발사!]",2017-02-13,2017
6,6,80079394,Charlie Puth(찰리 푸스),6166336,Left and Right (Feat. Jung Kook of BTS),996909,Left and Right (Feat. Jung Kook of BTS),"[4,327]","[Memories follow me left and right 
I can feel you over here I can feel you over here 
you take up every corner of my mind 
whatcha gon do now 

ever since the da day y-you went away
no I don't know how 
how to erase your body from out my brain 
whatcha gon do now
maybe I should just focus on me instead
But all I think about 
are the nights we were tangled up in your bed

oh no (oh no)
oh no (oh no)
you're going round in circles got you stuck up 
in my head (yeah)

Memories follow me left and right 
I can feel you over here I can feel you over here 
you take up every corner of my mind 
your love stays with me day and night 
I can feel you over here I can feel you over here 
you take up every corner of my mind 
whatcha gon do now

ever since the da da day y-you went away 
someone tell me how 
how much more do I gotta drink for the pain 
whatcha gon do now
you did things to me that I just can't forget 
now all I think about 
are the nights we were tangled up in your bed 
oh no (oh no)
oh no (oh no)
you're going round in circles 
got ya stuck up in my head 

Memories follow me left and right 
I can feel you over here I can feel you over here 
you take up every corner of my mind 
your love stays with me day and night 
I can feel you over here I can feel you over here 
you take up every corner of my mind 
whatcha gon do now

did ya know you're the one that got away
and even now baby i'm still not ok 
did ya know that my dreams
they're are the same 
everytime I close my eyes 

Memories follow me left and right 
I can feel you over here I can feel you over here 
you take up every corner of my mind 
whatcha gon do now
your love stays with me day and night 
I can feel you over here i can feel you over here 
you take up every corner of my mind 
whatcha gon do now

I can feel you over here I can feel you over here
you take up every corner of my mind 
whatcha gon do now]",2022-06-24,2022
7,7,80079394,방탄소년단,32563057,Butter,20059928,Proof,[139],"[Smooth like butter
Like a criminal undercover
Gon' pop like trouble
Breakin' into your heart like that

Cool shade stunner
Yeah I owe it all to my mother
Hot like summer
Yeah I'm makin' you sweat like that

Break it down

Oh when I look in the mirror
I'll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby

Know that I got that heat
Let me show you 'cause talk is cheap

Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad

Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that

Break it down

Oh when I look in the mirror
I'll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby

Know that I got that heat
Let me show you 'cause talk is cheap

Side step right left to my beat (heartbeat)
Get it, let it roll

Get it, let it roll
Get it, let it roll

No ice on my wrist
I'm that n-ice guy
Got that right body and that right mind
Rollin' up to party got the right vibe
Smooth like butter
Hate us love us

Fresh boy pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go

Side step right left to my beat (heartbeat)
High like the moon rock with me baby

Know that I got that heat
Let me show you 'cause talk is cheap

Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like (butter)
Cool shade (stunner)
And you know we don't stop

Hot like (summer)
Ain't no (bummer)
You be like oh my god

We gon' make you rock and you say (yeah)
We gon' make you bounce and you say (yeah)

Hotter?
Sweeter! 
Cooler?
Butter!

Get it, let it roll]",2022-06-10,2022
8,8,80079394,방탄소년단,32563058,Yet To Come,20059928,Proof,"[3,654]","[Was it honestly the best?
Cause I just wanna see the next
부지런히 지나온
어제들 속에
참 아름답게
Yeah the past was honestly the best
But my best is what comes next
I'm not playin', nah for sure
그날을 향해
숨이 벅차게
You and I, best moment is yet to come
Moment is yet to come, yeah
다들 언제부턴가
말하네 우릴 최고라고
온통 알 수 없는 Names
이젠 무겁기만 해
노래가 좋았다고
그저 달릴 뿐이라고
Promise that we'll keep on coming back for more
너의 마음속 깊은 어딘가
여전한 소년이 있어
My moment is yet to come
Yet to come
(당신은 꿈꾸는가, 그 길의 끝은 무엇일까)
Moment is yet to come, yeah
(모두가 숨죽인 밤, 우린 발을 멈추지 않아)
Yet to come
(We gonna touch the sky, 'fore the day we die)
Moment is yet to come, yeah
(자 이제 시작이야, The best yet to come)
언젠가부터 붙은 불편한 수식어
최고란 말은 아직까지 낯간지러워
난 난 말야 걍 음악이 좋은 걸
여전히 그때와 다른 게 별로 없는걸
아마 다른 게 별로 없다면
You'll say it's all a lie, yeah
난 변화는 많았지만
변함은 없었다 해
A new chapter
매 순간이 새로운 최선
지금 난 마치 열세 살
그때의 나처럼 뱉어
Huh
아직도 배울 게 많고
나의 인생 채울 게 많아
그 이유를 물어본다면
내 심장이 말하잖아
We ain't about it 이 세상의 기대
We ain't about it 최고란 기준의 Step
(We ain't about it)
왕관과 꽃, 수많은 트로피
(We ain't about it)
Dream and hope and goin' forward
(We so about it)
긴긴 원을 돌아 결국 또 제자리
Back to one
너의 마음속 깊은 어딘가
여전한 소년이 있어
My moment is yet to come
Yet to come
(당신은 꿈꾸는가, 그 길의 끝은 무엇일까)
Moment is yet to come, yeah
(모두가 숨죽인 밤, 우린 발을 멈추지 않아)
Yet to come
(We gonna touch the sky, 'fore the day we die)
Moment is yet to come, yeah
(자 이제 시작이야, The best yet to come)
So was it honestly the best?
Cause I just wanna see the next
눈부시게 지나온
기억들 속에
참 아름답게
Yeah the past was honestly the best
But my best is what comes next
We'll be singin' till the morn
그날을 향해
더 우리답게
You and I, best moment is yet to come]",2022-06-10,2022
9,9,80079394,방탄소년단,32563047,불타오르네 (FIRE),20059928,Proof,[165],"[불타오르네

Fire
Fire
Fire
Fire

When I wake up in my room 난 뭣도 없지
해가 지고 난 후 비틀대며 걷지
다 만신창이로 취했어 취했어
막 욕해 길에서 길에서
나 맛이 갔지 미친놈 같지
다 엉망진창, livin' like 삐-이-

니 멋대로 살어 어차피 니 꺼야
애쓰지 좀 말어 져도 괜찮아
Errbody say La la la la la (La la la la la)
Say La la la la la (La la la la la)
손을 들어 소리질러 Burn it up
불타오르네

싹 다 불태워라 Bow wow wow
싹 다 불태워라 Bow wow wow 

Hey, burn it up
전부 다 태울 것 같이
Hey, turn it up
새벽이 다 갈 때까지
그냥 살아도 돼 우린 젊기에
그 말하는 넌 뭔 수저길래
수저수저 거려 난 사람인데
(So what)

니 멋대로 살어 어차피 니 꺼야
애쓰지 좀 말어 져도 괜찮아
Errbody say La la la la la (La la la la la)
Say La la la la la (La la la la la)
손을 들어 소리질러 Burn it up
불타오르네

싹 다 불태워라 Bow wow wow
싹 다 불태워라 Bow wow wow

(Fire) 겁 많은 자여 여기로
(Fire) 괴로운 자여 여기로
(Fire) 맨주먹을 들고 All night long
(Fire) 진군하는 발걸음으로
(Fire) 뛰어봐 미쳐버려 다

싹 다 불태워라 Bow wow wow
싹 다 불태워라 Bow wow wow

Fire
Fire
싹 다 불태워라 Bow wow wow

Fire
Fire
싹 다 불태워라 Bow wow wow

용서해줄게]",2022-06-10,2022
